JNJ,Date
89.61468505859375,2016-01-04
89.9892578125,2016-01-05
89.5344009399414,2016-01-06
88.49092864990234,2016-01-07
87.54554748535156,2016-01-08
87.01934051513672,2016-01-11
87.61688232421875,2016-01-12
86.52881622314453,2016-01-13
88.19659423828125,2016-01-14
86.51097869873047,2016-01-15
86.9569091796875,2016-01-19
85.39615631103516,2016-01-20
85.56562042236328,2016-01-21
86.28802490234375,2016-01-22
85.97586822509766,2016-01-25
90.2389907836914,2016-01-26
91.1130142211914,2016-01-27
91.21112060546875,2016-01-28
93.14647674560547,2016-01-29
93.08406066894531,2016-02-01
92.22785949707031,2016-02-02
92.87889862060547,2016-02-03
92.66486358642578,2016-02-04
89.66818237304688,2016-02-05
90.97030639648438,2016-02-08
90.94356536865234,2016-02-09
90.7295150756836,2016-02-10
90.7027587890625,2016-02-11
90.8097915649414,2016-02-12
91.25570678710938,2016-02-16
91.41624450683594,2016-02-17
92.96809387207031,2016-02-18
93.56997680664062,2016-02-19
94.0999755859375,2016-02-22
93.49813842773438,2016-02-23
94.28864288330078,2016-02-24
95.56427001953125,2016-02-25
95.0252685546875,2016-02-26
94.5132064819336,2016-02-29
96.3188705444336,2016-03-01
96.15716552734375,2016-03-02
95.80682373046875,2016-03-03
95.67206573486328,2016-03-04
95.8876724243164,2016-03-07
95.42052459716797,2016-03-08
95.97748565673828,2016-03-09
96.24699401855469,2016-03-10
96.75904846191406,2016-03-11
96.71411895751953,2016-03-14
96.80394744873047,2016-03-15
96.48955535888672,2016-03-16
95.8876724243164,2016-03-17
96.57039642333984,2016-03-18
96.37275695800781,2016-03-21
96.46259307861328,2016-03-22
97.4687271118164,2016-03-23
97.29803466796875,2016-03-24
97.22618103027344,2016-03-28
98.04365539550781,2016-03-29
97.8999252319336,2016-03-30
97.19921875,2016-03-31
98.08856201171875,2016-04-01
97.54956817626953,2016-04-04
97.87298583984375,2016-04-05
98.29520416259766,2016-04-06
98.16043090820312,2016-04-07
98.00774383544922,2016-04-08
97.89094543457031,2016-04-11
98.4568862915039,2016-04-12
98.69942474365234,2016-04-13
98.67247772216797,2016-04-14
98.97791290283203,2016-04-15
99.65167236328125,2016-04-18
101.2237319946289,2016-04-19
102.0322494506836,2016-04-20
102.02325439453125,2016-04-21
101.79866790771484,2016-04-22
101.9693603515625,2016-04-25
101.43036651611328,2016-04-26
101.30458068847656,2016-04-27
101.04407501220703,2016-04-28
100.68474578857422,2016-04-29
101.2866439819336,2016-05-02
101.23273468017578,2016-05-03
100.81050109863281,2016-05-04
101.40339660644531,2016-05-05
101.27764129638672,2016-05-06
102.15799713134766,2016-05-09
103.01140594482422,2016-05-10
102.74192810058594,2016-05-11
102.61615753173828,2016-05-12
102.01427459716797,2016-05-13
102.8048095703125,2016-05-16
102.2568130493164,2016-05-17
102.04121398925781,2016-05-18
101.37644958496094,2016-05-19
101.9102554321289,2016-05-20
101.47599029541016,2016-05-23
101.95550537109375,2016-05-24
102.55262756347656,2016-05-25
102.14549255371094,2016-05-26
102.29023742675781,2016-05-27
101.95550537109375,2016-05-31
102.03692626953125,2016-06-01
103.58403015136719,2016-06-02
103.82831573486328,2016-06-03
104.74210357666016,2016-06-06
104.70592498779297,2016-06-07
104.76924896240234,2016-06-08
105.85492706298828,2016-06-09
105.86399841308594,2016-06-10
105.66494750976562,2016-06-13
105.9635009765625,2016-06-14
105.3211441040039,2016-06-15
105.52922058105469,2016-06-16
104.47972869873047,2016-06-17
105.43878173828125,2016-06-20
105.11305236816406,2016-06-21
105.36636352539062,2016-06-22
106.19873809814453,2016-06-23
104.61543273925781,2016-06-24
105.44779968261719,2016-06-27
106.9677734375,2016-06-28
107.9629898071289,2016-06-29
109.74532318115234,2016-06-30
109.73628234863281,2016-07-01
110.62291717529297,2016-07-05
110.95769500732422,2016-07-06
110.8400650024414,2016-07-07
111.1476821899414,2016-07-08
111.22005462646484,2016-07-11
111.21099853515625,2016-07-12
111.28339385986328,2016-07-13
111.44625854492188,2016-07-14
111.28339385986328,2016-07-15
111.4100570678711,2016-07-18
113.31907653808594,2016-07-19
113.21952819824219,2016-07-20
113.22859954833984,2016-07-21
113.12003326416016,2016-07-22
112.99336242675781,2016-07-25
113.22859954833984,2016-07-26
112.88479614257812,2016-07-27
112.60430908203125,2016-07-28
113.30095672607422,2016-07-29
113.45478057861328,2016-08-01
112.95716857910156,2016-08-02
112.09764862060547,2016-08-03
112.06147766113281,2016-08-04
112.4052734375,2016-08-05
111.8714828491211,2016-08-08
111.67243194580078,2016-08-09
111.6091079711914,2016-08-10
111.98004913330078,2016-08-11
111.4824447631836,2016-08-12
110.65913391113281,2016-08-15
108.86772918701172,2016-08-16
109.75436401367188,2016-08-17
109.2205810546875,2016-08-18
109.2205810546875,2016-08-19
108.50105285644531,2016-08-22
108.78339385986328,2016-08-23
108.11853790283203,2016-08-24
107.99103546142578,2016-08-25
108.41909790039062,2016-08-26
109.2205810546875,2016-08-29
108.81074523925781,2016-08-30
108.69231414794922,2016-08-31
108.45553588867188,2016-09-01
108.67411041259766,2016-09-02
109.06576538085938,2016-09-06
108.93824005126953,2016-09-07
108.81074523925781,2016-09-08
107.6813735961914,2016-09-09
108.52839660644531,2016-09-12
107.11668395996094,2016-09-13
107.34436798095703,2016-09-14
108.0456771850586,2016-09-15
107.69957733154297,2016-09-16
107.1622085571289,2016-09-19
107.42635345458984,2016-09-20
108.30069732666016,2016-09-21
108.80162048339844,2016-09-22
108.2096176147461,2016-09-23
107.27151489257812,2016-09-26
108.5830307006836,2016-09-27
108.73786926269531,2016-09-28
106.8070297241211,2016-09-29
107.59030151367188,2016-09-30
108.2096176147461,2016-10-03
108.2187271118164,2016-10-04
108.5466079711914,2016-10-05
108.15496063232422,2016-10-06
108.60124969482422,2016-10-07
109.11128234863281,2016-10-10
107.14398956298828,2016-10-11
107.44456481933594,2016-10-12
107.70867156982422,2016-10-13
107.07115173339844,2016-10-14
107.91816711425781,2016-10-17
105.11297607421875,2016-10-18
104.36611938476562,2016-10-19
104.62114715576172,2016-10-20
103.3187484741211,2016-10-21
103.47356414794922,2016-10-24
103.7923355102539,2016-10-25
104.33880615234375,2016-10-26
105.3770980834961,2016-10-27
105.04011535644531,2016-10-28
105.64122009277344,2016-10-31
105.04920959472656,2016-11-01
104.6120376586914,2016-11-02
104.7668685913086,2016-11-03
104.8397445678711,2016-11-04
106.25146484375,2016-11-07
106.60665130615234,2016-11-08
109.57579040527344,2016-11-09
108.8744888305664,2016-11-10
107.89994812011719,2016-11-11
106.19679260253906,2016-11-14
105.94178009033203,2016-11-15
105.97821807861328,2016-11-16
106.16947174072266,2016-11-17
105.79346466064453,2016-11-18
105.46334075927734,2016-11-21
103.3907470703125,2016-11-22
103.69337463378906,2016-11-23
104.66546630859375,2016-11-25
103.74838256835938,2016-11-28
103.15230560302734,2016-11-29
102.07017517089844,2016-11-30
102.14350891113281,2016-12-01
102.67543029785156,2016-12-02
102.6570816040039,2016-12-05
102.76713562011719,2016-12-06
101.88675689697266,2016-12-07
101.78585815429688,2016-12-08
102.95054626464844,2016-12-09
105.79346466064453,2016-12-12
106.27952575683594,2016-12-13
105.45414733886719,2016-12-14
106.27952575683594,2016-12-15
106.27035522460938,2016-12-16
106.39872741699219,2016-12-19
106.068603515625,2016-12-20
105.74760437011719,2016-12-21
105.86683654785156,2016-12-22
106.34371185302734,2016-12-23
106.29785919189453,2016-12-27
105.55504608154297,2016-12-28
105.91268157958984,2016-12-29
105.65591430664062,2016-12-30
106.23367309570312,2017-01-03
106.05943298339844,2017-01-04
107.16907501220703,2017-01-05
106.655517578125,2017-01-06
106.6371841430664,2017-01-09
106.5271224975586,2017-01-10
105.2157211303711,2017-01-11
105.1148452758789,2017-01-12
105.09649658203125,2017-01-13
105.34410858154297,2017-01-17
105.1882095336914,2017-01-18
104.72966003417969,2017-01-19
104.68383026123047,2017-01-20
104.4637222290039,2017-01-23
102.49201965332031,2017-01-24
103.4457778930664,2017-01-25
102.56536865234375,2017-01-26
103.97766876220703,2017-01-27
103.74838256835938,2017-01-30
103.85845947265625,2017-01-31
103.84011840820312,2017-02-01
104.15191650390625,2017-02-02
104.21611022949219,2017-02-03
103.99600982666016,2017-02-06
104.06937408447266,2017-02-07
103.99600982666016,2017-02-08
104.6196060180664,2017-02-09
105.68341827392578,2017-02-10
106.27035522460938,2017-02-13
106.7105484008789,2017-02-14
107.48088073730469,2017-02-15
108.28790283203125,2017-02-16
109.00321960449219,2017-02-17
109.73689270019531,2017-02-21
109.60848999023438,2017-02-22
111.60771179199219,2017-02-23
113.29707336425781,2017-02-24
112.99242401123047,2017-02-27
112.81702423095703,2017-02-28
114.3402099609375,2017-03-01
114.12788391113281,2017-03-02
114.27558898925781,2017-03-03
114.20172882080078,2017-03-06
114.31251525878906,2017-03-07
114.56177520751953,2017-03-08
116.26956176757812,2017-03-09
116.50959014892578,2017-03-10
116.94346618652344,2017-03-13
117.28502655029297,2017-03-14
119.04823303222656,2017-03-15
118.58666229248047,2017-03-16
118.2174072265625,2017-03-17
118.22664642333984,2017-03-20
117.46965789794922,2017-03-21
116.55574798583984,2017-03-22
116.2234115600586,2017-03-23
115.83570098876953,2017-03-24
116.131103515625,2017-03-27
116.00187683105469,2017-03-28
115.31875610351562,2017-03-29
115.07872009277344,2017-03-30
114.9771728515625,2017-03-31
115.10641479492188,2017-04-03
115.09719848632812,2017-04-04
