REGN,Date
516.5499877929688,2016-01-04
508.9800109863281,2016-01-05
519.47998046875,2016-01-06
501.9599914550781,2016-01-07
491.67999267578125,2016-01-08
480.82000732421875,2016-01-11
474.9800109863281,2016-01-12
459.57000732421875,2016-01-13
479.0799865722656,2016-01-14
462.95001220703125,2016-01-15
447.0199890136719,2016-01-19
461.95001220703125,2016-01-20
461.57000732421875,2016-01-21
482.989990234375,2016-01-22
473.1199951171875,2016-01-25
463.55999755859375,2016-01-26
434.1600036621094,2016-01-27
415.1099853515625,2016-01-28
420.0899963378906,2016-01-29
418.2699890136719,2016-02-01
409.8900146484375,2016-02-02
421.010009765625,2016-02-03
412.5899963378906,2016-02-04
396.6099853515625,2016-02-05
390.5299987792969,2016-02-08
365.9700012207031,2016-02-09
367.4800109863281,2016-02-10
367.239990234375,2016-02-11
379.010009765625,2016-02-12
391.760009765625,2016-02-16
397.260009765625,2016-02-17
387.29998779296875,2016-02-18
394.9800109863281,2016-02-19
395.7900085449219,2016-02-22
386.8299865722656,2016-02-23
393.6300048828125,2016-02-24
393.989990234375,2016-02-25
394.2300109863281,2016-02-26
384.0199890136719,2016-02-29
410.2099914550781,2016-03-01
407.80999755859375,2016-03-02
401.94000244140625,2016-03-03
403.82000732421875,2016-03-04
408.2799987792969,2016-03-07
394.80999755859375,2016-03-08
374.75,2016-03-09
377.55999755859375,2016-03-10
377.1199951171875,2016-03-11
373.2699890136719,2016-03-14
367.2200012207031,2016-03-15
368.4599914550781,2016-03-16
365.4700012207031,2016-03-17
364.510009765625,2016-03-18
371.0400085449219,2016-03-21
378.30999755859375,2016-03-22
365.3800048828125,2016-03-23
370.79998779296875,2016-03-24
363.8500061035156,2016-03-28
367.3699951171875,2016-03-29
359.67999267578125,2016-03-30
360.44000244140625,2016-03-31
405.25,2016-04-01
405.29998779296875,2016-04-04
403.6499938964844,2016-04-05
427.20001220703125,2016-04-06
418.4800109863281,2016-04-07
404.94000244140625,2016-04-08
396.1400146484375,2016-04-11
408.07000732421875,2016-04-12
410.5199890136719,2016-04-13
406.8299865722656,2016-04-14
406.7300109863281,2016-04-15
422.3800048828125,2016-04-18
413.7799987792969,2016-04-19
399.75,2016-04-20
409.57000732421875,2016-04-21
404.3800048828125,2016-04-22
406.9200134277344,2016-04-25
406.6600036621094,2016-04-26
390.2799987792969,2016-04-27
391.29998779296875,2016-04-28
376.7099914550781,2016-04-29
384.5199890136719,2016-05-02
371.32000732421875,2016-05-03
360.6400146484375,2016-05-04
377.7300109863281,2016-05-05
369.95001220703125,2016-05-06
375.4700012207031,2016-05-09
385.8699951171875,2016-05-10
371.8599853515625,2016-05-11
365.6400146484375,2016-05-12
369.4599914550781,2016-05-13
391.95001220703125,2016-05-16
386.3800048828125,2016-05-17
390.2799987792969,2016-05-18
383.29998779296875,2016-05-19
386.0,2016-05-20
